Year Month Day xp yp
2024  6  1  0.033949  0.450726  
2024  6  2  0.034801  0.452436  
2024  6  3  0.035415  0.454449  
2024  6  4  0.035932  0.456327  
2024  6  5  0.036673  0.457834  
2024  6  6  0.037487  0.459138  
2024  6  7  0.038565  0.460373  
2024  6  8  0.039947  0.461678  
2024  6  9  0.041938  0.463044  
2024  6 10  0.043871  0.464460  
2024  6 11  0.045732  0.465323  
2024  6 12  0.047737  0.466087  
2024  6 13  0.049960  0.466673  
2024  6 14  0.051869  0.467738  
2024  6 15  0.053599  0.468958  
2024  6 16  0.055337  0.470153  
2024  6 17  0.057147  0.471082  
2024  6 18  0.058793  0.472026  
2024  6 19  0.060651  0.472655  
2024  6 20  0.062874  0.473258  
2024  6 21  0.065510  0.473730  
2024  6 22  0.068521  0.474266  
2024  6 23  0.071113  0.474962  
2024  6 24  0.073422  0.475615  
2024  6 25  0.075250  0.476283  
2024  6 26  0.077419  0.476809  
2024  6 27  0.079989  0.477316  
2024  6 28  0.082511  0.477875  
2024  6 29  0.085073  0.478255  
2024  6 30  0.087985  0.478787  
2024  7  1  0.090768  0.479056  
2024  7  2  0.093591  0.478899  
2024  7  3  0.096521  0.478959  
2024  7  4  0.099391  0.478430  
2024  7  5  0.102073  0.478153  
2024  7  6  0.104445  0.478142  
2024  7  7  0.106630  0.478271  
2024  7  8  0.108257  0.478138  
2024  7  9  0.109768  0.477735  
2024  7 10  0.111585  0.477264  
2024  7 11  0.113723  0.476907  
2024  7 12  0.115999  0.476943  
2024  7 13  0.118382  0.477471  
2024  7 14  0.120838  0.478331  
2024  7 15  0.122872  0.479037  
2024  7 16  0.125227  0.479615  
2024  7 17  0.127881  0.479693  
2024  7 18  0.130506  0.479473  
2024  7 19  0.132804  0.479308  
2024  7 20  0.134956  0.479323  
2024  7 21  0.137341  0.479269  
2024  7 22  0.140073  0.479032  
2024  7 23  0.142806  0.478945  
2024  7 24  0.145560  0.479179  
2024  7 25  0.148439  0.479486  
2024  7 26  0.150958  0.479629  
2024  7 27  0.152941  0.479648  
2024  7 28  0.154248  0.479414  
2024  7 29  0.155777  0.478731  
2024  7 30  0.157404  0.478195  
2024  7 31  0.159281  0.477650  
2024  8  1  0.161188  0.477331  
2024  8  2  0.163634  0.476656  
2024  8  3  0.166545  0.476250  
2024  8  4  0.168752  0.476175  
2024  8  5  0.170324  0.475893  
2024  8  6  0.171976  0.475272  
2024  8  7  0.173689  0.474153  
2024  8  8  0.175474  0.472930  
2024  8  9  0.177632  0.471795  
2024  8 10  0.180101  0.470687  
2024  8 11  0.182362  0.469749  
2024  8 12  0.184145  0.468954  
2024  8 13  0.185839  0.467838  
2024  8 14  0.187710  0.466893  
2024  8 15  0.189332  0.465822  
2024  8 16  0.190880  0.464824  
2024  8 17  0.192599  0.463732  
2024  8 18  0.194566  0.463040  
2024  8 19  0.196090  0.462517  
2024  8 20  0.197169  0.461587  
2024  8 21  0.198431  0.460328  
2024  8 22  0.199999  0.459208  
2024  8 23  0.201388  0.458211  
2024  8 24  0.202572  0.457263  
2024  8 25  0.203445  0.456265  
2024  8 26  0.204621  0.455054  
2024  8 27  0.205639  0.453834  
2024  8 28  0.206240  0.452455  
2024  8 29  0.206760  0.451051  
2024  8 30  0.207507  0.449841  
2024  8 31  0.208128  0.448764  
2024  9  1  0.208373  0.447461  
2024  9  2  0.208791  0.445550  
2024  9  3  0.209581  0.443829  
2024  9  4  0.210345  0.442766  
2024  9  5  0.211347  0.441892  
2024  9  6  0.212399  0.440940  
2024  9  7  0.213509  0.439920  
2024  9  8  0.214137  0.438724  
2024  9  9  0.214683  0.437259  
2024  9 10  0.215274  0.435737  
2024  9 11  0.215886  0.434141  
2024  9 12  0.216289  0.432585  
2024  9 13  0.217384  0.430825  
2024  9 14  0.218926  0.429346  
2024  9 15  0.220168  0.427947  
2024  9 16  0.220983  0.426771  
2024  9 17  0.221647  0.425577  
2024  9 18  0.221818  0.424291  
2024  9 19  0.221438  0.423003  
2024  9 20  0.221401  0.421715  
2024  9 21  0.222174  0.420795  
2024  9 22  0.223172  0.420159  
2024  9 23  0.223882  0.419507  
2024  9 24  0.224461  0.418741  
2024  9 25  0.224811  0.417635  
2024  9 26  0.224959  0.416399  
2024  9 27  0.225014  0.415024  
2024  9 28  0.225342  0.413722  
2024  9 29  0.225310  0.412115  
2024  9 30  0.225528  0.409893  
2024 10  1  0.226069  0.407874  
2024 10  2  0.226512  0.406221  
2024 10  3  0.226566  0.404945  
2024 10  4  0.226562  0.403832  
2024 10  5  0.226262  0.402866  
2024 10  6  0.225977  0.401551  
2024 10  7  0.225783  0.400335  
2024 10  8  0.225603  0.398797  
2024 10  9  0.225522  0.397096  
2024 10 10  0.226128  0.395452  
2024 10 11  0.226675  0.393910  
2024 10 12  0.226577  0.392355  
2024 10 13  0.226240  0.391018  
2024 10 14  0.225962  0.389779  
2024 10 15  0.225937  0.388501  
2024 10 16  0.225744  0.387299  
2024 10 17  0.225065  0.386153  
2024 10 18  0.224221  0.384604  
2024 10 19  0.223675  0.382899  
2024 10 20  0.223348  0.381274  
2024 10 21  0.222991  0.379834  
2024 10 22  0.222451  0.378206  
2024 10 23  0.222124  0.376279  
2024 10 24  0.221375  0.374685  
2024 10 25  0.220329  0.372814  
2024 10 26  0.219382  0.371496  
2024 10 27  0.218387  0.369950  
2024 10 28  0.217891  0.368306  
2024 10 29  0.217356  0.367260  
2024 10 30  0.216739  0.366300  
2024 10 31  0.216058  0.365610  
2024 11  1  0.215270  0.364854  
2024 11  2  0.214625  0.364281  
2024 11  3  0.213571  0.363773  
2024 11  4  0.212693  0.362463  
2024 11  5  0.212001  0.361187  
2024 11  6  0.211162  0.359912  
2024 11  7  0.209995  0.358451  
2024 11  8  0.208786  0.356606  
2024 11  9  0.208064  0.354584  
2024 11 10  0.207846  0.352746  
2024 11 11  0.207581  0.351131  
2024 11 12  0.207292  0.349470  
2024 11 13  0.206761  0.348007  
2024 11 14  0.206343  0.346578  
2024 11 15  0.205880  0.345634  
2024 11 16  0.205051  0.344557  
2024 11 17  0.204365  0.343525  
2024 11 18  0.203201  0.342487  
2024 11 19  0.202504  0.340984  
2024 11 20  0.202570  0.339786  
2024 11 21  0.202864  0.338852  
2024 11 22  0.203014  0.338346  
2024 11 23  0.202587  0.337858  
2024 11 24  0.201406  0.337367  
2024 11 25  0.199748  0.336632  
2024 11 26  0.198111  0.335639  
2024 11 27  0.196641  0.334254  
2024 11 28  0.195678  0.332703  
2024 11 29  0.195140  0.331321  
2024 11 30  0.194636  0.329999  
2024 12  1  0.193734  0.328693  
2024 12  2  0.192251  0.327546  
2024 12  3  0.190519  0.326401  
2024 12  4  0.188718  0.325142  
2024 12  5  0.186791  0.323745  
2024 12  6  0.185077  0.322083  
2024 12  7  0.183486  0.320294  
2024 12  8  0.181863  0.318735  
2024 12  9  0.180194  0.317398  
2024 12 10  0.178661  0.316084  
2024 12 11  0.177547  0.315154                                           
2024 12 12  0.176569  0.314502                                         
2024 12 13  0.175413  0.313997                                      
2024 12 14  0.173870  0.313227                                      
2024 12 15  0.172209  0.312265                                      
2024 12 16  0.170430  0.311433                                      
2024 12 17  0.168539  0.310699                                      
2024 12 18  0.166992  0.310196                                      
2024 12 19  0.165865  0.309696                                      
2024 12 20  0.164779  0.309732                                      
2024 12 21  0.163602  0.309742                                      
2024 12 22  0.162418  0.309772                                      
2024 12 23  0.161253  0.309931                                      
2024 12 24  0.159600  0.310078                                      
2024 12 25  0.157016  0.309746                                      
2024 12 26  0.153995  0.308923                                      
2024 12 27  0.151235  0.307951                                      
2024 12 28  0.149087  0.307013                                      
2024 12 29  0.147643  0.306295                                      
2024 12 30  0.146388  0.305778                                      
2024 12 31  0.145152  0.305379 
